partner_uuid,first_name,last_name,last_trip_timestamp,lifetime_trips,signup_city_name,signup_ts
IQ742972143615791000,SMITH,SCHULTZ,2018-08-25 22:48:45,71,7,2015-11-20 09:28:54
BJ314346181768895000,JOHNSON,WALTERS,2016-01-23 02:29:53,88,7,2015-05-05 21:03:18
GS558700168659882000,WILLIAMS,REID,2020-04-11 16:16:42,86,7,2015-09-11 02:39:33
GL552704419654905000,BROWN,FIELDS,2019-12-10 06:39:36,21,7,2015-07-22 03:27:35
HN366222419943180000,JONES,WALSH,2019-09-28 19:55:52,91,7,2015-10-17 02:03:42
YV342900257537195000,MILLER,LITTLE,2016-05-24 12:47:10,65,7,2015-04-13 15:58:14
JE816379216583053000,DAVIS,FOWLER,2022-03-12 17:03:54,6,7,2015-04-01 06:32:33
MW928554093277762000,GARCIA,BOWMAN,2018-01-25 17:18:16,83,7,2015-08-20 16:07:32
VN369199179268870000,RODRIGUEZ,DAVIDSON,2018-05-25 18:36:11,33,7,2015-03-19 09:15:22
AF773688353772767000,WILSON,MAY,2019-12-31 13:45:41,49,7,2015-05-31 22:57:38
FF927184930632767000,MARTINEZ,DAY,2017-04-24 07:53:45,60,7,2015-09-09 10:17:25
MV801637021924554000,ANDERSON,SCHNEIDER,2016-09-13 01:34:30,26,7,2015-10-09 20:34:31
BU883206204682600000,TAYLOR,NEWMAN,2019-04-10 11:38:20,6,7,2015-03-13 01:38:11
SO843001541488054000,THOMAS,BREWER,2019-03-28 22:45:49,20,7,2015-10-30 12:15:20
CC920304127933613000,HERNANDEZ,LUCAS,2022-01-14 10:20:24,48,7,2015-06-18 03:32:43
BC306828247570444000,MOORE,HOLLAND,2021-10-31 02:38:33,7,7,2015-03-04 14:52:10
FB229859706582555000,MARTIN,WONG,2016-03-28 20:34:45,64,7,2015-09-09 03:37:14
WI542333420292924000,JACKSON,BANKS,2019-03-13 00:47:01,19,7,2015-04-04 09:20:50
QW822805477059839000,THOMPSON,SANTOS,2021-10-21 11:16:58,40,7,2015-07-25 11:30:11
